"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
111,"Dallas Goedert","13","TE",78,153,110.56,13.38
112,"Jerome Ford","14","RB",73,144,114.72,14.54
113,"Jameson Williams","14","WR",74,183,115.22,19.83
114,"Ezekiel Elliott","14","RB",67,188,116.37,17.73
115,"Nick Chubb","14","RB",71,201,117,20.53
116,"Tyler Lockett","14","WR",76,173,118.04,15.66
117,"Keon Coleman","14","WR",64,168,118.6,22.38
118,"Kirk Cousins","14","QB",82,168,120.18,20.84
119,"Justin Herbert","14","QB",72,183,120.95,22.78
120,"Jakobi Meyers","14","WR",89,173,121.37,14.99
121,"Pat Freiermuth","14","TE",95,225,122.18,20.47
122,"Matthew Stafford","15","QB",90,189,125.31,20.74
123,"Dalton Schultz","15","TE",93,202,125.68,18.83
124,"Joshua Palmer","15","WR",89,170,126.61,17.59
125,"Romeo Doubs","15","WR",89,169,128.63,16.96
126,"Rashid Shaheed","15","WR",81,175,129.15,18
127,"Curtis Samuel","15","WR",85,198,129.19,20.37
128,"Blake Corum","15","RB",93,221,129.59,17.87
129,"Zach Charbonnet","15","RB",102,159,130.63,12.55
130,"Chuba Hubbard","15","RB",94,170,131.39,14.51
131,"Brandin Cooks","16","WR",89,169,135.11,17.39
132,"Rico Dowdle","16","RB",95,231,135.58,21.52
133,"Khalil Shakir","16","WR",75,203,136.81,22.71
134,"Mike Williams","16","WR",101,208,136.96,22.14
135,"Aaron Rodgers","16","QB",90,235,137.36,26.02
136,"T.J. Hockenson","16","TE",97,341,138.84,31.46
137,"Deshaun Watson","16","QB",83,243,138.87,26.42
138,"Trey Benson","15","RB",92,167,131.37,14.21
139,"Jerry Jeudy","16","WR",98,197,143.57,17.51
140,"Ty Chandler","16","RB",108,291,143.96,21.97
141,"Tyler Allgeier","17","RB",112,233,147.6,15.18
142,"Geno Smith","17","QB",104,281,147.67,31.24
143,"Josh Downs","17","WR",108,306,148,24.51
144,"Baker Mayfield","17","QB",107,215,148.35,23.84
145,"Luke Musgrave","17","TE",105,265,149.08,21.77
146,"Cole Kmet","17","TE",105,250,151.78,29.71
147,"Antonio Gibson","17","RB",111,248,146.75,17.85
148,"Gabe Davis","17","WR",99,198,152.12,19.58
