"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
111,"Zack Moss","15","RB",67,155,109.91,18.03
112,"Matthew Stafford","16","QB",84,140,111.75,9.69
113,"Tyler Lockett","16","WR",75,165,112.43,17.42
114,"Jonathon Brooks","16","RB",64,176,113.67,20.05
115,"Pat Freiermuth","16","TE",96,225,115.46,18.42
116,"Jakobi Meyers","16","WR",81,165,116,16.53
117,"Dalton Schultz","17","TE",97,202,119.6,15.17
118,"Jerome Ford","17","RB",74,144,122.06,14.25
119,"Aaron Rodgers","17","QB",90,178,122.66,14.76
120,"Jameson Williams","17","WR",80,173,122.93,18.6
121,"Deshaun Watson","17","QB",83,168,123.78,15.82
122,"Keon Coleman","17","WR",65,167,124.2,21.63
123,"Gus Edwards","17","RB",88,151,124.71,12.34
124,"Ezekiel Elliott","17","RB",71,193,125.93,17.08
125,"Joshua Palmer","17","WR",87,175,126.19,20.63
126,"Nick Chubb","17","RB",74,188,127.13,18.66
127,"Curtis Samuel","17","WR",88,184,128.56,19.41
128,"T.J. Hockenson","18","TE",97,260,129.13,25.1
129,"Romeo Doubs","18","WR",91,175,130.87,18.78
130,"Zach Charbonnet","18","RB",102,161,132.22,9.89
131,"Geno Smith","18","QB",104,213,132.53,19.41
132,"Baker Mayfield","18","QB",107,213,134.56,14.52
133,"Rashid Shaheed","18","WR",91,177,135.73,16.8
134,"Chuba Hubbard","19","RB",107,176,138.49,13.24
135,"Brandin Cooks","19","WR",89,194,138.72,18.43
136,"Khalil Shakir","19","WR",75,220,139,25.02
137,"Mike Williams","19","WR",95,204,141.14,20.63
138,"Josh Downs","19","WR",89,207,141.63,21.34
139,"Will Levis","19","QB",118,213,142.23,15.78
140,"Luke Musgrave","19","TE",105,245,143.22,22.61
141,"Rico Dowdle","19","RB",97,230,143.46,18.32
142,"Antonio Gibson","19","RB",117,222,144.39,16.69
143,"Blake Corum","19","RB",116,236,142.54,16.42
144,"Trey Benson","19","RB",107,181,141.61,13.5
145,"Jerry Jeudy","19","WR",95,203,146.64,18.05
146,"Cole Kmet","19","TE",97,260,147.28,33.84
147,"Jaleel McLaughlin","20","RB",98,242,150.03,20.33
148,"Hunter Henry","20","TE",110,253,151.96,26.49
149,"Ty Chandler","20","RB",117,283,152.03,21.3
150,"Tyler Allgeier","20","RB",117,242,155.26,16.16
151,"J.K. Dobbins","20","RB",113,277,155.83,27.3
152,"Adam Thielen","21","WR",87,243,159.63,25.94
153,"Gabe Davis","21","WR",114,201,161.54,18.48
154,"Jahan Dotson","21","WR",93,269,162.79,28.47
155,"Daniel Jones","21","QB",112,275,163.7,36.28
156,"Dontayvion Wicks","21","WR",96,244,163.84,27.76
157,"Tyler Conklin","21","TE",111,267,164.31,34.07
158,"DeMario Douglas","21","WR",122,229,167.55,19.8
159,"Derek Carr","22","QB",124,254,169.89,36.02
160,"Baltimore Ravens","20","DST",149,210,156.08,11.25
161,"Cade Otton","22","TE",123,258,173.29,26.89
162,"Adonai Mitchell","22","WR",120,257,173.53,23.75
163,"Khalil Herbert","22","RB",121,274,174.53,31.38
164,"Ja'Lynn Polk","22","WR",115,257,172.91,27.92
165,"Bryce Young","22","QB",124,276,175.63,34.98
166,"MarShawn Lloyd","22","RB",125,270,171.29,30.54
167,"Ray Davis","22","RB",140,270,173.95,27.41
168,"Michael Wilson","22","WR",132,229,177.2,17.76
169,"San Francisco 49ers","21","DST",150,187,164.2,8.67
170,"New York Jets","21","DST",150,184,165.42,7.71
171,"Darnell Mooney","23","WR",120,266,180.23,25.07
172,"Wan'Dale Robinson","23","WR",115,240,180.17,23.58
173,"Dallas Cowboys","22","DST",150,193,169.87,5.96
174,"Kendre Miller","22","RB",134,274,177.38,32.08
175,"Cleveland Browns","22","DST",150,218,172.35,8.37
176,"Roschon Johnson","23","RB",120,289,184.12,31.57
177,"Taysom Hill","23","TE",100,311,184.21,45.01
178,"Jaylen Wright","23","RB",129,312,181.18,36.57
179,"Rashod Bateman","23","WR",106,240,184.04,22.17
180,"Noah Fant","24","TE",111,260,190.51,37
181,"Xavier Legette","24","WR",116,276,190.99,27.62
182,"Sam Darnold","24","QB",118,338,192.88,56.14
183,"Pittsburgh Steelers","23","DST",166,219,184.25,9.01
184,"Kansas City Chiefs","23","DST",166,234,184.76,7.89
185,"Chigoziem Okonkwo","24","TE",123,301,198.07,37.85
186,"Marvin Mims Jr.","24","WR",125,272,194.7,25.52
187,"Justin Tucker","23","K",175,214,187.71,4.25
188,"Buffalo Bills","23","DST",150,279,188.69,18.06
189,"Bucky Irving","24","RB",140,286,197.93,32.58
190,"Brandon Aubrey","23","K",179,210,189.94,3.64
191,"Juwan Johnson","24","TE",120,280,200.41,33.37
192,"Demarcus Robinson","25","WR",139,286,205.06,28.48
193,"Harrison Butker","24","K",186,224,195.14,6.15
194,"Philadelphia Eagles","24","DST",160,355,193.37,22.41
195,"Jermaine Burton","25","WR",161,315,207.71,30.91
196,"Houston Texans","24","DST",171,278,194.32,14.48
197,"Braelon Allen","25","RB",147,336,207.94,38.28
198,"New Orleans Saints","24","DST",184,278,200.74,20.56
199,"Russell Wilson","25","QB",124,316,212.47,47.53
200,"Jason Sanders","24","K",191,252,201.28,9.5
